Title,Authors,Abstract,Published_Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Lunar exploration and development--a sustainable model.,"Williamson, Mark","A long-term goal of space exploration is the development of a lunar settlement that will not only be largely self-sufficient but also contribute to the economy of the Earth-Moon system. Proposals for lunar mining and materials processing developments, as well as tourism-based applications, have appeared in the literature for many years. However, so great are the technical and financial difficulties associated with sustained lunar development that, more than 30 years after the end of the Apollo programme, there have been no practical advances towards this goal. While this may soon be remedied by a series of proposed unmanned orbiters, landers and rovers, the philosophy of lunar exploration and development remains the same as it has for decades: conquer, exploit, and ignore the consequences. By contrasting the well-recognised problems of Earth orbital debris and the barely recognised issue of intentional spacecraft impacts on the lunar surface, this paper illustrates the need for a new model for lunar exploration and development. This new paradigm would assign a value to the lunar environment and provide a balance between protection and exploitation, creating, in effect, a philosophy of sustainable development for the Moon. It is suggested that this new philosophy should be an integral part of any future strategy for lunar colonisation. Copyright c2005 Elsevier Ltd. All rights reserved.",2005,/,Acta astronautica,57,8-Feb,161-6,,,16010758,#3245,Williamson 2005,,
Some aspects of the comparative analysis of hemodynamic responses to LBNP tests in cosmonauts of different age groups,"Turchaninova, V. F.; Alferova, I. V.; Krivolapov, V. V.","The age -specific indicators of the functions of the cardiovascular system and its responses to the lower body negative pressure (LBNP) test were studied in career cosmonauts for the first time. The results of 174 LBNP tests implemented within the standard medical monitoring program on board the 'Mir' orbital station (OS 'Mir'), using a Gamma- 01 device, and aboard the International Space Station (ISS), using the Gamma- 1M complex, were subjected to comparative analysis. In total, 38 cosmonauts from 25 long -duration space missions on board the 'Mir' OS and ISS, who were examined in their pre- flight state and during in flight periods, beginning, typically, on flight day (FD) 120, were subdivided into two age groups: 30- to 39 -year olds (their mean age was 36 ± 0.7 years; 39% of the total number of subjects) and 40- to 55 -year olds (their mean age was 46 ± 0.8 years; 61% of the total number of subjects). We have revealed age- specific indi cators for the hemodynamic status recorded at each stage of the investigation: at rest in a preflight state; responses of the indicators to the effects of microgravity; the relative dynamics of the indicators due to a simulated orthostatic posture, which was unidirectional but substantially different at the pre- and in -flight stages. For purposes of medical control, our results have shown that we need to establish age -specific references in our methodical approaches to the analysis and interpretation of the data received from monitoring cosmonauts’ health in their preflight state and during the entire mission and, which is particularly important in practical terms, when evaluating the LBNP test intolerance at different flight stages. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",2012,12//,Human Physiology,38,7,721-726,2012-34626-011,10.1134/S0362119712070249,2012-34626-011,#7562,Turchaninova 2012,,
Hexapod Walking: an expansion to Walknet dealing with leg amputations and force oscillations,"Schilling, Malte; Cruse, Holk; Arena, Paolo","The control of the legs of a walking hexapod is a complex problem as the legs have three joints each, resulting in a total of 18 degrees of freedom. We addressed this problem using a decentralized architecture termed Walknet, which consists of peripheral pattern generators being coordinated through influences acting mainly between neighbouring legs. Both, the coordinating influences and the local control modules (each acting only on one leg), are biologically inspired. This investigation shows that it is possible to adapt this approach to account for additional biological data by (1) changing the structure of the selector net in a biological plausible way (including force as an analog variable), (2) introducing a biologically motivated coordination influence for coactivation between legs and (3) adding a hypothetical influence between hind and front legs. This network of controllers has been tested using a dynamic simulation. It is able to describe (a) the behaviour of animals walking with one or two legs being amputated and (b) force oscillations that occur in a specific experimental situation, the standing legs of a walking animal.",2007,,BIOLOGICAL CYBERNETICS,96,3,323-340,WOS:000244684800003,10.1007/s00422-006-0117-1,,#10657,Schilling 2007,,
"Comparison of acute proton, photon, and low-dose priming effects on genes associated with extracellular matrix and adhesion molecules in the lungs.","Tian, Jian; Tian, Sisi; Gridley, Daila S","UNLABELLED:, BACKGROUND: Crew members on space missions inevitably are exposed to low background radiation and can receive much higher doses during solar particle events (SPE) that consist primarily of protons. Ionizing radiation could cause lung pathologies. Cell adhesion molecules (CAM) are believed to participate in fibrogenesis. Interactions between CAM and extracellular matrix (ECM) affect epithelial repair mechanisms in the lung. However, there are very limited data on biological effects of protons on normal lung tissue. Numerous reports have shown that exposure to low-dose/low-dose-rate (LDR) radiation can result in radioadaptation that renders cells more resistant to subsequent acute radiation. The goal of this study was to compare expression of genes associated with ECM and CAM, as well as critical profibrotic mediators, in mouse lungs after acute irradiation with photons and protons, and also determine whether pre-exposure to LDR gamma-rays induces an adaptive effect., RESULTS: Overall, a marked difference was present in the proton vs. photon groups in gene expression. When compared to 0 Gy, more genes were affected by protons than by photons at both time points (11 vs. 6 on day 21 and 14 vs. 8 on day 56), and all genes affected by protons were upregulated. Many genes were modulated by LDR gamma-rays when combined with photons or protons. Col1a1, mmp14, and mmp15 were significantly upregulated by all radiation regimens on day 21. Similarly, the change in expression of profibrotic proteins was also detected after acute and combination irradiation., CONCLUSION: These data show that marked differences were present between acutely delivered protons and photons in modulating genes, and the effect of protons was more profound than that of photons. Pre-exposure to LDR gamma-rays 'normalized' some genes that were modified by acute irradiation.",2013,/,Fibrogenesis & tissue repair,6,1,4,,https://dx.doi.org/10.1186/1755-1536-6-4,23374750,#2544,Tian 2013,,Animal
Performance of a miniaturized bioreactor in space flight: Microtechnology at the service of space biology,"Walther, I.; Van Der Schoot, B.; Boillat, M.; Cogoli, A.","We describe here the performance and the use of microtechnology in a miniaturized bioreactor developed for the continuous cultivation of yeast cells, Saccharomyces cerevisiae, in microgravity. This bioreactor has been used on two Shuttle missions, where its functionality was successfully demonstrated. In the future, bioreactors will become a key element for long-term experiments, and would also be applied in the cultivation of mammalian cells or tissues for medical applications.",2000,,Enzyme and Microbial Technology,27,10,778-783,,10.1016/S0141-0229(00)00300-8,,#7076,Walther 2000,,
A Numerical Study of Biofilm Growth in a Microgravity Environment,"Aristotelous, A. C.; Papanicolaou, N. C.",A mathematical model is proposed to investigate the effect of microgravity on biofilm growth. We examine the case of biofilm suspended in a quiescent aqueous nutrient solution contained in a rectangular tank. The bacterial colony is assumed to follow logistic growth whereas nutrient absorption is assumed to follow Monod kinetics. The problem is modeled by a coupled system of nonlinear partial differential equations in two spatial dimensions solved using the Discontinuous Galerkin Finite Element method. Nutrient and biofilm concentrations are computed in microgravity and normal gravity conditions. A preliminary quantitative relationship between the biofilm concentration and the gravity field intensity is derived.,2017,,APPLICATION OF MATHEMATICS IN TECHNICAL AND NATURAL SCIENCES,1895,,,WOS:000426902700064,10.1063/1.5007418,,#13799,Aristotelous 2017,,
Staphylococcus aureus Sensitivity to Membrane Disrupting Antibacterials Is Increased under Microgravity.,"Jang, Hyochan; Choi, Seong Yeol; Mitchell, Robert J","In a survey of the International Space Station (ISS), the most common pathogenic bacterium identified in samples from the air, water and surfaces was Staphylococcus aureus. While growth under microgravity is known to cause physiological changes in microbial pathogens, including shifts in antibacterial sensitivity, its impact on S. aureus is not well understood. Using high-aspect ratio vessels (HARVs) to generate simulated microgravity (SMG) conditions in the lab, we found S. aureus lipid profiles are altered significantly, with a higher presence of branch-chained fatty acids (BCFAs) (14.8% to 35.4%) with a concomitant reduction (41.3% to 31.4%) in straight-chain fatty acids (SCFAs) under SMG. This shift significantly increased the sensitivity of this pathogen to daptomycin, a membrane-acting antibiotic, leading to 12.1-fold better killing under SMG. Comparative assays with two additional compounds, i.e., SDS and violacein, confirmed S. aureus is more susceptible to membrane-disrupting agents, with 0.04% SDS and 0.6 mg/L violacein resulting in 22.9- and 12.8-fold better killing in SMG than normal gravity, respectively. As humankind seeks to establish permanent colonies in space, these results demonstrate the increased potency of membrane-active antibacterials to control the presence and spread of S. aureus, and potentially other pathogens.",2023,/,Cells,12,14,,,https://dx.doi.org/10.3390/cells12141907,37508571,#304,Jang 2023,,
Both gravistimulation onset and removal trigger an increase of cytoplasmic free calcium in statocytes of roots grown in microgravity,"Bizet, Francois; Pereda-Loth, Veronica; Chauvet, Hugo; Gerard, Joelle; Eche, Brigitte; Girousse, Christine; Courtade, Monique; Perbal, Gerald; Legue, Valerie","Gravity is a permanent environmental signal guiding plant growth and development. Gravity sensing in plants starts with the displacement of starch-filled plastids called statoliths, ultimately leading to auxin redistribution and organ curvature. While the involvement in gravity sensing of several actors such as calcium is known, the effect of statolith displacement on calcium changes remains enigmatic. Microgravity is a unique environmental condition offering the opportunity to decipher this link. In this study, roots of Brassica napus were grown aboard the International Space Station (ISS) either in microgravity or in a centrifuge simulating Earth gravity. The impact of short simulated gravity onset and removal was measured on statolith positioning and intracellular free calcium was assessed using pyroantimonate precipitates as cytosolic calcium markers. Our findings show that a ten-minute onset or removal of gravity induces very low statolith displacement, but which is, nevertheless, associated with an increase of the number of pyroantimonate precipitates. These results highlight that a change in the cytosolic calcium distribution is triggered in absence of a significant statolith displacement.",2018,,SCIENTIFIC REPORTS,8,,,WOS:000440144400059,10.1038/s41598-018-29788-7,,#9302,Bizet 2018,,
Oxidative stress and alterations in actin cytoskeleton trigger glutathione efflux in <i>Saccharomyces cerevisiae</i>,"Bradamante, Silvia; Villa, Alessandro; Versari, Silvia; Barenghi, Livia; Orlandi, Ivan; Vai, Marina","A marked deficiency in glutathione (GSH), the most abundant antioxidant in living systems, plays a major role in aging and the pathogenesis of diseases ranging from neurological disorders to early atherosclerosis and the impairment of various immunological functions. In an attempt to shed light on GSH homeostasis, we carried out the space experiment SCORE (Saccharomyces cerevisiae oxidative stress response evaluation) during the FOTON-M3 mission. Microgravity and hyperoxic conditions induced an enormous extracellular release of GSH from S. cerevisiae cells (approximate to 40% w/dw), changed the distribution of the buds, and activated the high osmolarity glycerol (HOG) and cell integrity/PKC pathways, as well as protein carbonylation. The results from the single spaceflight experiment were validated by a complete set of experiments under conditions of simulated microgravity and indicate that cytoskeletal alterations are mainly responsible for the observed effects. The results of ground experiments in which we induced cytoskeletal modifications by means of treatment with dihydrocytochalasin B (DHCB), a potent inhibitor of actin polymerisation, or (R)-(+)-trans-4-(1-aminoethyl)-N-(4-pyridyl)cyclohexanecarboxamide dihydrochloride monohydrate (Y-27632), a selective ROCK (Rho-associated coiled-coil forming protein serine/threonine kinase) inhibitor, confirmed the role of actin in GSH efflux. We also found that the GSH release can be inhibited using the potent chloride channel blocker 5-nitro-2(3-phenylpropylamino) benzoic acid (NPPB). (C) 2010 Elsevier B.V. All rights reserved.",2010,,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH,1803,12,1376-1385,WOS:000283911900006,10.1016/j.bbamcr.2010.07.007,,#16064,Bradamante 2010,,
New perspectives on viable microbial communities in low-biomass cleanroom environments.,"Vaishampayan, Parag; Probst, Alexander J; La Duc, Myron T; Bargoma, Emilee; Benardini, James N; Andersen, Gary L; Venkateswaran, Kasthuri","The advent of phylogenetic DNA microarrays and high-throughput pyrosequencing technologies has dramatically increased the resolution and accuracy of detection of distinct microbial lineages in mixed microbial assemblages. Despite an expanding array of approaches for detecting microbes in a given sample, rapid and robust means of assessing the differential viability of these cells, as a function of phylogenetic lineage, remain elusive. In this study, pre-PCR propidium monoazide (PMA) treatment was coupled with downstream pyrosequencing and PhyloChip DNA microarray analyses to better understand the frequency, diversity and distribution of viable bacteria in spacecraft assembly cleanrooms. Sample fractions not treated with PMA, which were indicative of the presence of both live and dead cells, yielded a great abundance of highly diverse bacterial pyrosequences. In contrast, only 1% to 10% of all of the pyrosequencing reads, arising from a few robust bacterial lineages, originated from sample fractions that had been pre-treated with PMA. The results of PhyloChip analyses of PMA-treated and -untreated sample fractions were in agreement with those of pyrosequencing. The viable bacterial population detected in cleanrooms devoid of spacecraft hardware was far more diverse than that observed in cleanrooms that housed mission-critical spacecraft hardware. The latter was dominated by hardy, robust organisms previously reported to survive in oligotrophic cleanroom environments. Presented here are the findings of the first ever comprehensive effort to assess the viability of cells in low-biomass environmental samples, and correlate differential viability with phylogenetic affiliation.",2013,/,The ISME journal,7,2,312-24,,https://dx.doi.org/10.1038/ismej.2012.114,23051695,#2410,Vaishampayan 2013,,
The electroencephalogram as a screening tool in pilot applicants,"Zifkin, B.G.","The electroencephalogram (EEG) is used to screen pilot candidates for professional licensure irrespective of medical history in many European countries; applicants with paroxysmal abnormalities are excluded. The aim is to reduce the risk of later seizures in flight, which may cause accident or death, but there is no clear evidence that EEG screening can lead to any significant risk reduction. This is partly due to the low predictive value of the EEG, the low risk of seizure in healthy young adults, and the low risk of commercial aircraft accidents. Later-onset seizures, unrelated to the results of earlier screening, cannot be predicted or prevented by screening. Some benefit cannot be excluded, but may be difficult to demonstrate in prospective studies. Specialized screening of targeted populations, such as for photosensitivity in helicopter pilot candidates, may be justifiable; prospective studies with standardized recording and interpretation protocols are needed to assess this. © 2004 Elsevier Inc. All rights reserved.",2005,,Epilepsy and Behavior,6,1,17-20,,10.1016/j.yebeh.2004.10.001,,#6634,Zifkin 2005,,
"The Photochemistry of Unprotected DNA and DNA inside Bacillus subtilis Spores Exposed to Simulated Martian Surface Conditions of Atmospheric Composition, Temperature, Pressure, and Solar Radiation.","Nicholson, Wayne L; Schuerger, Andrew C; Douki, Thierry","DNA is considered a potential biomarker for life-detection experiments destined for Mars. Experiments were conducted to examine the photochemistry of bacterial DNA, either unprotected or within Bacillus subtilis spores, in response to exposure to simulated martian surface conditions consisting of the following: temperature (-10degreeC), pressure (0.7 kPa), atmospheric composition [CO2 (95.54%), N2 (2.7%), Ar (1.6%), O2 (0.13%), and H2O (0.03%)], and UV-visible-near IR solar radiation spectrum (200-1100 nm) calibrated to 4 W/m2 of UVC (200-280 nm). While the majority (99.9%) of viable spores deposited in multiple layers on spacecraft-qualified aluminum coupons were inactivated within 5 min, a detectable fraction survived for up to the equivalent of ~115 martian sols. Spore photoproduct (SP) was the major lesion detected in spore DNA, with minor amounts of cyclobutane pyrimidine dimers (CPD), in the order TT CPD > TC CPD >> CT CPD. In addition, the (6-4)TC, but not the (6-4)TT, photoproduct was detected in spore DNA. When unprotected DNA was exposed to simulated martian conditions, all photoproducts were detected. Surprisingly, the (6-4)TC photoproduct was the major photoproduct, followed by SP ~ TT CPD > TC CPD > (6-4)TT > CT CPD > CC CPD. Differences in the photochemistry of unprotected DNA and spore DNA in response to simulated martian surface conditions versus laboratory conditions are reviewed and discussed. The results have implications for the planning of future life-detection experiments that use DNA as the target, and for the long-term persistence on Mars of forward contaminants or their DNA. Key Words: Bacillus subtilis-DNA-Mars-Photochemistry-Spore-Ultraviolet. Astrobiology 18, 393-402.",2018,/,Astrobiology,18,4,393-402,,https://dx.doi.org/10.1089/ast.2017.1721,29589975,#1618,Nicholson 2018,,
Acid sphingomyelinase/ceramide mediates structural remodeling of cerebral artery and small mesenteric artery in simulated weightless rats,"Su, Yu-Ting; Cheng, Yao-Ping; Zhang, Xi; Xie, Xiao-Ping; Chang, Yao-Ming; Bao, Jun-Xiang","Aims: Weightlessness exposure conduces to substantial vascular remodeling, mechanisms behind which remain unclear. Acid sphingomyelinase (ASM) catalyzed ceramide (Cer) generation accounts for multiple vascular disorders, so the role of it in adjustment of cerebral artery (CA) and small mesenteric artery (MA) was investigated in simulated weightless rats.Main methods: Rats were hindlimb unloaded tail suspended (HU) to simulate the effect of weightlessness. Arterial morphology was examined by hematoxylin-eosin staining. Cer abundance was measured by immunohistochemistry. Western blotting was used to detect protein content. Apoptosis was detected by transferase-mediated dUTP nick end labeling.Key findings: During 4 weeks of tail suspension, intima-media thickness (IMT) and media cross section area (CSA) were increased gradually in CA but decreased gradually in MA (P < 0.05). Correspondingly, the apoptosis and proliferation of vascular smooth muscle cells were reduced and enhanced respectively in CA (P < 0.05), while promoted and restrained in MA (P < 0.05). As compared to control, both ASM protein expression and Cer content were lowered in CA and elevated in MA of HU rats (P < 0.05). Permeable Cer incubation reversed the change of apoptosis and proliferation in CA of HU rats, while ASM inhibition recapitulated it in control rats. On the contrary, ASM inhibitors restored the alteration of apoptosis and proliferation in MA of HU.Significance: The results suggest that by controlling the balance between apoptosis and proliferation, ASM/Cer exerts an important role in structural adaptation of CA and MA to simulated weightlessness.",2020,,LIFE SCIENCES,243,,,WOS:000512996200004,10.1016/j.lfs.2019.117253,,#16708,Su 2020,,
Citizen science unoccupied aerial vehicles: A technique for advancing coastal data acquisition for management and research,"Ierodiaconou, Daniel; Kennedy, David M.; Pucino, Nicolas; Allan, Blake M.; McCarroll, R. Jak; Ferns, Lawrance W.; Carvalho, Rafael C.; Sorrell, Karina; Leach, Chloe; Young, Mary","Coasts are highly dynamic systems. Understanding how they respond to individual storms events and to future climate change is difficult as local boundary conditions determines their evolutionary trajectory. A lack of field data at this local scale therefore limits the ability of managers and researchers to apply existing modelling frameworks to their region of interest to ensure preservation of the natural environment. Data acquisition through low-cost Unoccupied Aerial Vehicles (UAVs) has become a viable means for obtaining high-resolution surveys (cm-scale) on the coast for whole sediment compartments (km-scale). A continued limitation however is the intensive labour costs involved in data acquisition. Here we show the power of Citizen Science in providing high quality, cost-effective data collection, when provided with adequate training and resources along a high-energy, temperate coast in Victoria, Australia. This was conducted through the Victorian Coastal Monitoring Program (VCMP), formed in 2018 as a collaboration between Australian universities and the Victorian State Government. As of 2022, this program covered 28 sites, with over 450 individual surveys taken at 6-8 week intervals. The VCMP has guided and driven significant management actions on the coast from realignment of coastal walking paths for public safety to measuring sand renourishment success. In this paper we (i) present the Citizen Science UAV program methodology, as an example that can be replicated in other jurisdictions, and (ii) illustrate, through a case-study of a sandy beach and rocky cliff, the benefits and precision achievable using our Citizen Science approach. We outline how outputs can be made widely available and applied to coastal man-agement, with the aid of data portals and decision support systems. This data accessibility has been central to our community engagement, enabling citizen scientists to conduct their own bespoke analysis for co-creation of management solutions for their local area. It was also found to be key for facilitating continued community engagement during one of the world's longest lockdowns of the COVID-19 pandemic, impacting the program for almost two years.",2022,,CONTINENTAL SHELF RESEARCH,244,,,WOS:000834013300003,10.1016/j.csr.2022.104800,,#13461,Ierodiaconou 2022,,
Cascaded navigation control for agricultural vehicles tracking straight paths,Hu Jingtao; Li Taochang,"In precision agriculture (PA), an agricultural vehicle navigation system is essential and the navigation control accuracy is important in this system. As straight path tracking is the major operating mode of agricultural vehicles on large fields, a cascaded navigation control method for straight path tracking is proposed in this study. Firstly, a cascaded navigation control structure for the agricultural vehicle was discussed. Based on this structure, the navigation control task was decomposed into two cascaded control tasks, namely, the path tracking control task and the steering control task. Secondly, a relative kinematics model of agricultural vehicles was deduced, and an optimal Proportional-Derivative (PD) method based on the deduced model was developed in the path tracking control task. Then, an improved PD method based on a transition process was proposed in the steering control task to enhance the performance of the steering control subsystem. Finally, the effectiveness and the superiority of the proposed method were verified by a series of experiments. Results of the experimental data analysis show that mean value of the lateral position deviation is 0.02 m and standard deviation of the lateral position deviation is 0.04 m, which proves that the proposed method has achieved satisfactory effects on the straight path tracking of agricultural vehicles.",2014,,INTERNATIONAL JOURNAL OF AGRICULTURAL AND BIOLOGICAL ENGINEERING,7,1,36-44,WOS:000338267400005,10.3965/j.ijabe.20140701.004,,#11075,HuJingtao 2014,,
Surgery in space.,"Panesar, S S; Ashkan, K","BACKGROUND: There has been renewed public interest in manned space exploration owing to novel initiatives by private and governmental bodies. Long-term goals include manned missions to, and potential colonization of, nearby planets. Travel distances and mission length required for these would render Earth-based treatment and telemedical solutions unfeasible. These issues present an anticipatory challenge to planners, and novel or adaptive medical technologies must therefore be devised to diagnose and treat the range of medical issues that future space travellers will encounter., METHODS: The aim was to conduct a search of the literature pertaining to human physiology, pathology, trauma and surgery in space., RESULTS: Known physiological alterations include fluid redistribution, cardiovascular changes, bone and muscle atrophy, and effects of ionizing radiation. Potential pathological mechanisms identified include trauma, cancer and common surgical conditions, such as appendicitis., CONCLUSION: Potential surgical treatment modalities must consist of self-sufficient and adaptive technology, especially in the face of uncertain pathophysiological mechanisms and logistical concerns. Copyright © 2018 BJS Society Ltd Published by John Wiley & Sons Ltd.",2018,/,The British journal of surgery,105,10,1234-1243,,https://dx.doi.org/10.1002/bjs.10908,29923181,#1585,Panesar 2018,,
Revisions to Acute/Off-Nominal Limits for Benzene in Spacecraft Air,"Ryder, Valerie Elizabeth; Williams, Edward Spencer","The previous short-term (1-h and 24-h) Spacecraft Maximal Allowable Concentrations (SMACs) for benzene were established at 10 and 3 ppm by NASA in 1996, based on a study of mice in which no hematological effects were noted following two 6-h exposures to benzene. When the benzene SMACs were updated in 2008, there was no revision to the short-term SMAC limits. Rather, that effort developed a long-term SMAC (1000-d) for Exploration mission scenarios.Acute benzene exposures can cause numerous neurological effects, and long-term exposure to low levels is well-known to cause acute myeloid leukemia. Since publication of the original benzene SMACs, the National Academy of Sciences developed interim Acute Exposure Guideline Limits (AEGLs) for unintentional releases of benzene into the air. Based on the data used to establish the AEGLs, we have increased our short-term, off-nominal limits for benzene in crewed spacecraft to 40 ppm and 6.7 ppm for 1-h and 24-h, respectively.",2023,,AEROSPACE MEDICINE AND HUMAN PERFORMANCE,94,7,544-545,WOS:001028817600007,10.3357/AMHP.6222.2023,,#16745,Ryder 2023,,
"Transcriptomics, NF-kappaB Pathway, and Their Potential Spaceflight-Related Health Consequences.","Zhang, Ye; Moreno-Villanueva, Maria; Krieger, Stephanie; Ramesh, Govindarajan T; Neelam, Srujana; Wu, Honglu","In space, living organisms are exposed to multiple stress factors including microgravity and space radiation. For humans, these harmful environmental factors have been known to cause negative health impacts such as bone loss and immune dysfunction. Understanding the mechanisms by which spaceflight impacts human health at the molecular level is critical not only for accurately assessing the risks associated with spaceflight, but also for developing effective countermeasures. Over the years, a number of studies have been conducted under real or simulated space conditions. RNA and protein levels in cellular and animal models have been targeted in order to identify pathways affected by spaceflight. Of the many pathways responsive to the space environment, the nuclear factor kappa-light-chain-enhancer of activated B cells (NF-kappaB) network appears to commonly be affected across many different cell types under the true or simulated spaceflight conditions. NF-kappaB is of particular interest, as it is associated with many of the spaceflight-related health consequences. This review intends to summarize the transcriptomics studies that identified NF-kappaB as a responsive pathway to ground-based simulated microgravity or the true spaceflight condition. These studies were carried out using either human cell or animal models. In addition, the review summarizes the studies that focused specifically on NF-kappaB pathway in specific cell types or organ tissues as related to the known spaceflight-related health risks including immune dysfunction, bone loss, muscle atrophy, central nerve system (CNS) dysfunction, and risks associated with space radiation. Whether the NF-kappaB pathway is activated or inhibited in space is dependent on the cell type, but the potential health impact appeared to be always negative. It is argued that more studies on NF-kappaB should be conducted to fully understand this particular pathway for the benefit of crew health in space.",2017,/,International journal of molecular sciences,18,6,,,https://dx.doi.org/10.3390/ijms18061166,28561779,#1717,Zhang 2017,,
Dynamics of underwater legged locomotion: modeling and experiments on an octopus-inspired robot,"Calisti, M.; Corucci, F.; Arienti, A.; Laschi, C.","This paper studies underwater legged locomotion (ULL) by means of a robotic octopus-inspired prototype and its associated model. Two different types of propulsive actions are embedded into the robot model: reaction forces due to leg contact with the ground and hydrodynamic forces such as the drag arising from the sculling motion of the legs. Dynamic parameters of the model are estimated by means of evolutionary techniques and subsequently the model is exploited to highlight some distinctive features of ULL. Specifically, the separation between the center of buoyancy (CoB)/center of mass and density affect the stability and speed of the robot, whereas the sculling movements contribute to propelling the robot even when its legs are detached from the ground. The relevance of these effects is demonstrated through robotic experiments and model simulations; moreover, by slightly changing the position of the CoB in the presence of the same feed-forward activation, a number of different behaviors (i.e. forward and backward locomotion at different speeds) are achieved.",2015,,BIOINSPIRATION & BIOMIMETICS,10,4,,WOS:000362358100016,10.1088/1748-3190/10/4/046012,,#10507,Calisti 2015,,
Laser-Based Pedestrian Tracking in Outdoor Environments by Multiple Mobile Robots,"Ozaki, Masataka; Kakimuma, Kei; Hashimoto, Masafumi; Takahashi, Kazuhiko","This paper presents an outdoors laser-based pedestrian tracking system using a group of mobile robots located near each other. Each robot detects pedestrians from its own laser scan image using an occupancy-grid-based method, and the robot tracks the detected pedestrians via Kalman filtering and global-nearest-neighbor (GNN)-based data association. The tracking data is broadcast to multiple robots through intercommunication and is combined using the covariance intersection (CI) method. For pedestrian tracking, each robot identifies its own posture using real-time-kinematic GPS (RTK-GPS) and laser scan matching. Using our cooperative tracking method, all the robots share the tracking data with each other; hence, individual robots can always recognize pedestrians that are invisible to any other robot. The simulation and experimental results show that cooperating tracking provides the tracking performance better than conventional individual tracking does. Our tracking system functions in a decentralized manner without any central server, and therefore, this provides a degree of scalability and robustness that cannot be achieved by conventional centralized architectures.",2012,,SENSORS,12,11,14489-14507,WOS:000311429500014,10.3390/s121114489,,#11793,Ozaki 2012,,
Description and Genome Characterization of Three Novel Fungal Strains Isolated from Mars 2020 Mission-Associated Spacecraft Assembly Facility Surfaces-Recommendations for Two New Genera and One Species.,"Chander, Atul Munish; Teixeira, Marcus de Melo; Singh, Nitin K; Williams, Michael P; Simpson, Anna C; Damle, Namita; Parker, Ceth W; Stajich, Jason E; Mason, Christopher E; Torok, Tamas; Venkateswaran, Kasthuri","National Aeronautics and Space Administration's (NASA) spacecraft assembly facilities are monitored for the presence of any bacteria or fungi that might conceivably survive a transfer to an extraterrestrial environment. Fungi present a broad and diverse range of phenotypic and functional traits to adapt to extreme conditions, hence the detection of fungi and subsequent eradication of them are needed to prevent forward contamination for future NASA missions. During the construction and assembly for the Mars 2020 mission, three fungal strains with unique morphological and phylogenetic properties were isolated from spacecraft assembly facilities. The reconstruction of phylogenetic trees based on several gene loci (ITS, LSU, SSU, RPB, TUB, TEF1) using multi-locus sequence typing (MLST) and whole genome sequencing (WGS) analyses supported the hypothesis that these were novel species. Here we report the genus or species-level classification of these three novel strains via a polyphasic approach using phylogenetic analysis, colony and cell morphology, and comparative analysis of WGS. The strain FJI-L9-BK-P1 isolated from the Jet Propulsion Laboratory Spacecraft Assembly Facility (JPL-SAF) exhibited a putative phylogenetic relationship with the strain Aaosphaeria arxii CBS175.79 but showed distinct morphology and microscopic features. Another JPL-SAF strain, FJII-L3-CM-DR1, was phylogenetically distinct from members of the family Trichomeriaceae and exhibited morphologically different features from the genera Lithohypha and Strelitziana. The strain FKI-L1-BK-DR1 isolated from the Kennedy Space Center facility was identified as a member of Dothideomycetes incertae sedis and is closely related to the family Kirschsteiniotheliaceae according to a phylogenetic analysis. The polyphasic taxonomic approach supported the recommendation for establishing two novel genera and one novel species. The names Aaosphaeria pasadenensis (FJI-L9-BK-P1 = NRRL 64424 = DSM 114621), Pasadenomyces melaninifex (FJII-L3-CM-DR1 = NRRL 64433 = DSM 114623), and Floridaphiala radiotolerans (FKI-L1-BK-DR1 = NRRL 64434 = DSM 114624) are proposed as type species. Furthermore, resistance to ultraviolet-C and presence of specific biosynthetic gene cluster(s) coding for metabolically active compounds are unique to these strains.",2022,/,"Journal of fungi (Basel, Switzerland)",9,1,,,https://dx.doi.org/10.3390/jof9010031,36675851,#215,Chander 2022,,
Assessment Model for Rapid Suppression of SARS-CoV-2 Transmission under Government Control.,"Pan, Lihu; Su, Ya; Yan, Huimin; Zhang, Rui","The rapid suppression of SARS-CoV-2 transmission remains a priority for maintaining public health security throughout the world, and the agile adjustment of government prevention and control strategies according to the spread of the epidemic is crucial for controlling the spread of the epidemic. Thus, in this study, a multi-agent modeling approach was developed for constructing an assessment model for the rapid suppression of SARS-CoV-2 transmission under government control. Different from previous mathematical models, this model combines computer technology and geographic information system to abstract human beings in different states into micro-agents with self-control and independent decision-making ability; defines the rules of agent behavior and interaction; and describes the mobility, heterogeneity, contact behavior patterns, and dynamic interactive feedback mechanism of space environment. The real geospatial and social environment in Taiyuan was considered as a case study. In the implemented model, the government agent could adjust the response level and prevention and control policies for major public health emergencies in real time according to the development of the epidemic, and different intervention strategies were provided to improve disease control methods in the simulation experiment. The simulation results demonstrate that the proposed model is widely applicable, and it can not only judge the effectiveness of intervention measures in time but also analyze the virus transmission status in complex urban systems and its change trend under different intervention measures, thereby providing scientific guidance to support urban public health safety.",2022,/,Tropical medicine and infectious disease,7,12,,,https://dx.doi.org/10.3390/tropicalmed7120399,36548654,#242,Pan 2022,,
